Author Username,Date,Comment
frenovative,2023-11-30 19:51:22,"Quality:Good

Fast delivery and parcel is nicely wrapped. Thanks for the gift card. This is the 2nd time I bought from Pandora. 
Highly recommended  🌟🌟🌟🌟🌟"
showbeauty21,2023-09-01 10:36:13,"Good product, good quality, good service and fast delivery 🚚"
azri799,2023-08-20 19:50:23,"Nice quality silver, affordable with price good brand, just want know durability"
boonjacky94,2023-11-06 10:27:40,"Quality:nice

The box is broken. Please improve the packaging.
A bit sad when open seeing this broken box...😔😔😔 
Delivery is fast👍"
yishen21,2023-12-17 22:43:19,"Thank you so much 
Good packing and fast delivery 
Will buy again 
So beautiful 
I like it"
n*****h,2023-11-06 22:54:08,"Quality:nice

Good service nice 🥰🥰🥰 thank you for the good packaging but no voucher🥺"
m*****_,2023-10-31 15:04:58,"Quality:nice

It's so lovely a same as the photos. Thank seller for well packaged, fast delivery and hope the necklace last long🥰."
mark_grey_angelo,2023-10-13 18:21:36,"Quality:Pandora quality

well packaged, only the gift bag is a bit wrinkled, besides all that, perfect."
alifasyraf_norizal,2023-08-08 21:39:06,Barang dah sampai dengan selamat! Penghantaran sgt pantas! Order placed 6/8 and barang sampai 8/8!
e*****5,2024-01-19 23:40:01,"Quality:seperti dalam gambar

Penghantaran diterima mengikut masa yang dianggarkan. Pembungkusan kemas dalam keadaan baik. Dapat paperbag Pandora."
leotwc,2024-02-04 13:54:42,"Quality:not bad

💨 fast delivery 🚚 
Looking good 👍 
Not bad
Got give 1 Pandora small paper bag"
l*****3,2023-08-27 23:23:58,"Quality:Good

Received with fast delivery and good condition, thanks so much ❤️❤️"
azwanhidayat,2024-02-13 15:54:54,"Quality:excellent

my girlfriend is very happy with the product, everything is good although box have small dent 😇"
a*****_,2023-06-08 10:59:44,"Quality:good

Received in good condition, fast delivery, secured packaging. Tiptop!"
j*****i,2023-11-16 08:42:11,"Thanks for the fast delivery
Loving this purchase 
Thanks pandora"
a*****l,2023-08-16 20:54:02,"Quality:Perfect Quality

Thankyou seller ! the shipping was fast. The items arrived safely. Received the parcel correctly and without damaged. Good service !"
y*****7,2024-03-08 14:05:14,"Quality:good product quality

Fast response and seller is very kind. I got the paper bag and gift card that i ask. Thank you seller."
joeyeng,2024-01-01 10:27:37,"Fast delivery and nice seller thx
Good product
Good product"
jj_10_10,2024-02-04 20:39:52,"Nice and beautiful, fast delivery. Recommended seller keep it up"
